                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
12.12.1.522                                                  cve-2019-5045, cve-2019-5048
12.1x46                                                      cve-2019-0047
12.1x46-d86                                                  cve-2019-0047
12.2.0.1                                                     cve-2018-2875, cve-2019-2734, cve-2019-2909, cve-2019-2913, cve-2019-2939, cve-2019-2940, cve-2019-2954, cve-2019-2955, cve-2019-2956
12.2.1.3.0                                                   cve-2019-2886, cve-2019-2887, cve-2019-2888, cve-2019-2889, cve-2019-2890, cve-2019-2891, cve-2019-2897, cve-2019-2898, cve-2019-2899, cve-2019-2900, cve-2019-2904, cve-2019-2905, cve-2019-2906, cve-2019-2907, cve-2019-2943, cve-2019-3012
12.2.1.4.0                                                   cve-2019-2897, cve-2019-2898, cve-2019-2900, cve-2019-2905, cve-2019-2906, cve-2019-3012
12.2.3-12.2.8                                                cve-2019-2925, cve-2019-2930, cve-2019-2942
12.2.3-12.2.9                                                cve-2019-2990, cve-2019-2995, cve-2019-3000, cve-2019-3022, cve-2019-3024
12.2.5-12.2.9                                                cve-2019-3027
12.3                                                         cve-2019-0047, cve-2019-0062
12.3r12-s13                                                  cve-2019-0047
12.3r12-s15                                                  cve-2019-0062
12.3x48                                                      cve-2019-0047, cve-2019-0051, cve-2019-0055, cve-2019-0058, cve-2019-0062, cve-2019-0068, cve-2019-0075
12.3x48-d61                                                  cve-2019-0055
12.3x48-d65                                                  cve-2019-0055
12.3x48-d80                                                  cve-2019-0047, cve-2019-0058, cve-2019-0075
12.3x48-d85                                                  cve-2019-0051, cve-2019-0062
12.3x48-d90                                                  cve-2019-0068
12.4                                                         cve-2019-17602
124089                                                       cve-2019-17602
13                                                           cve-2019-2894, cve-2019-2933, cve-2019-2945, cve-2019-2949, cve-2019-2958, cve-2019-2962, cve-2019-2964, cve-2019-2973, cve-2019-2975, cve-2019-2977, cve-2019-2978, cve-2019-2981, cve-2019-2983, cve-2019-2987, cve-2019-2988, cve-2019-2992, cve-2019-2999
13.0                                                         cve-2019-18225
13.0.2.6                                                     cve-2019-16967
13.0.45.3                                                    cve-2019-16966
13.2.0                                                       cve-2017-14141
13.2.2.0.0                                                   cve-2019-2895
13.3.1.0.0                                                   cve-2019-2895
13.3.2.0.0                                                   cve-2019-2895
13.x                                                         cve-2019-16966, cve-2019-16967
14.0.10.3                                                    cve-2019-16966, cve-2019-16967
14.0.5.12                                                    cve-2019-16966
14.1x53                                                      cve-2019-0047, cve-2019-0062, cve-2019-0069
14.1x53-d47                                                  cve-2019-0069
14.1x53-d51                                                  cve-2019-0047, cve-2019-0062
14.x                                                         cve-2019-16966
